id,ligand,receptor,PKa
324,Specs_14968.pdbqt,10341.pdbqt,54640.05233663085
325,Specs_15258.pdbqt,10341.pdbqt,3151.1548141802195
326,Specs_6371.pdbqt,10341.pdbqt,7292.789388688664
327,Specs_1773.pdbqt,10341.pdbqt,14270.290581532105
328,Specs_15927.pdbqt,10341.pdbqt,2252.683446901692
329,Specs_11709.pdbqt,10341.pdbqt,33026.05865576149
330,Specs_8234.pdbqt,10341.pdbqt,19961.923601646595
331,Specs_26697.pdbqt,10341.pdbqt,46198.33464379458
332,Specs_7433.pdbqt,10341.pdbqt,39060.83600928755
333,Specs_3566.pdbqt,10341.pdbqt,6166.0761704557235
334,Specs_7081.pdbqt,10341.pdbqt,23609.520965282318
335,Specs_6993.pdbqt,10341.pdbqt,2252.683446901692
336,Specs_13529.pdbqt,10341.pdbqt,46198.33464379458
337,Specs_15695.pdbqt,10341.pdbqt,1904.6508792732627
338,Specs_9199.pdbqt,10341.pdbqt,4407.976929287794
339,Specs_10091.pdbqt,10341.pdbqt,6166.0761704557235
340,Specs_27691.pdbqt,10341.pdbqt,8625.384376956097
341,Specs_14565.pdbqt,10341.pdbqt,19961.923601646595
342,Specs_8278.pdbqt,10341.pdbqt,3726.9582398412513
343,Specs_11958.pdbqt,10341.pdbqt,23609.520965282318
344,Specs_2097.pdbqt,10341.pdbqt,12065.575188108609
345,Specs_9745.pdbqt,10341.pdbqt,10201.481447637932
346,Specs_22245.pdbqt,10341.pdbqt,19961.923601646595
347,Specs_6352.pdbqt,10341.pdbqt,7292.789388688664
348,Specs_18718.pdbqt,10341.pdbqt,46198.33464379458
349,Specs_1105.pdbqt,10341.pdbqt,33026.05865576149
350,Specs_18375.pdbqt,10341.pdbqt,3151.1548141802195
351,Specs_20349.pdbqt,10341.pdbqt,6166.0761704557235
352,Specs_9183.pdbqt,10341.pdbqt,27923.635584104093
353,Specs_5808.pdbqt,10341.pdbqt,7292.789388688664
354,Specs_7408.pdbqt,10341.pdbqt,2664.3112221601245
355,Specs_15367.pdbqt,10341.pdbqt,10201.481447637932
356,Specs_7729.pdbqt,10341.pdbqt,12065.575188108609
357,Specs_5923.pdbqt,10341.pdbqt,2252.683446901692
358,Specs_2445.pdbqt,10341.pdbqt,4407.976929287794
359,Specs_26768.pdbqt,10341.pdbqt,6166.0761704557235
360,Specs_89.pdbqt,10341.pdbqt,2664.3112221601245
361,Specs_754.pdbqt,10341.pdbqt,12065.575188108609
362,Specs_22713.pdbqt,10341.pdbqt,5213.436630822327
363,Specs_17502.pdbqt,10341.pdbqt,27923.635584104093
364,Specs_18111.pdbqt,10341.pdbqt,90399.38281672397
365,Specs_10777.pdbqt,10341.pdbqt,6166.0761704557235
366,Specs_9577.pdbqt,10341.pdbqt,23609.520965282318
367,Specs_2748.pdbqt,10341.pdbqt,3151.1548141802195
368,Specs_15079.pdbqt,10341.pdbqt,5213.436630822327
369,Specs_23177.pdbqt,10341.pdbqt,14270.290581532105
370,Specs_17233.pdbqt,10341.pdbqt,4407.976929287794
371,Specs_13247.pdbqt,10341.pdbqt,27923.635584104093
372,Specs_21363.pdbqt,10341.pdbqt,33026.05865576149
373,Specs_18666.pdbqt,10341.pdbqt,14270.290581532105
374,Specs_4266.pdbqt,10341.pdbqt,2252.683446901692
375,Specs_2850.pdbqt,10341.pdbqt,973.3661443093963
376,Specs_10267.pdbqt,10341.pdbqt,19961.923601646595
377,Specs_26606.pdbqt,10341.pdbqt,39060.83600928755
